accession	strain	collection_date	country	host
NZ_CP018957	Ecol_316	2011	USA	Homo sapiens
NZ_CP018957	Ecol_316	2011	USA	Homo sapiens
NZ_CP018957	Ecol_316	2011	USA	Homo sapiens
NZ_CP018957	Ecol_316	2011	USA	Homo sapiens
NZ_CP018965	Ecol_517	2011	Brazil	Homo sapiens
NZ_CP018965	Ecol_517	2011	Brazil	Homo sapiens
NZ_CP018965	Ecol_517	2011	Brazil	Homo sapiens
NZ_CP018976	Ecol_545	2011	Viet Nam	Homo sapiens
NZ_CP018976	Ecol_545	2011	Viet Nam	Homo sapiens
NZ_CP018976	Ecol_545	2011	Viet Nam	Homo sapiens
NZ_CP018976	Ecol_545	2011	Viet Nam	Homo sapiens
NZ_CP018976	Ecol_545	2011	Viet Nam	Homo sapiens
NZ_CP018976	Ecol_545	2011	Viet Nam	Homo sapiens
NZ_CP018979	Ecol_656	2012	USA	Homo sapiens
NZ_CP018979	Ecol_656	2012	USA	Homo sapiens
NZ_CP018979	Ecol_656	2012	USA	Homo sapiens
NZ_CP018991	Ecol_AZ146	2012	Italy	Homo sapiens
NZ_CP018991	Ecol_AZ146	2012	Italy	Homo sapiens
NZ_CP018991	Ecol_AZ146	2012	Italy	Homo sapiens
NZ_CP018991	Ecol_AZ146	2012	Italy	Homo sapiens
NZ_CP018991	Ecol_AZ146	2012	Italy	Homo sapiens
NZ_CP018991	Ecol_AZ146	2012	Italy	Homo sapiens
NZ_CP018991	Ecol_AZ146	2012	Italy	Homo sapiens
NZ_CP018991	Ecol_AZ146	2012	Italy	Homo sapiens
NZ_CP019005	Ecol_AZ155	2013	China	Homo sapiens
NZ_CP019005	Ecol_AZ155	2013	China	Homo sapiens
NZ_CP019005	Ecol_AZ155	2013	China	Homo sapiens
NZ_CP019005	Ecol_AZ155	2013	China	Homo sapiens
NZ_CP019005	Ecol_AZ155	2013	China	Homo sapiens
NZ_CP019008	Ecol_AZ159	2013	Colombia	Homo sapiens
NZ_CP019008	Ecol_AZ159	2013	Colombia	Homo sapiens
NZ_CP019008	Ecol_AZ159	2013	Colombia	Homo sapiens
NZ_CP019015	Ecol_AZ162	2013	USA	Homo sapiens
NZ_CP019015	Ecol_AZ162	2013	USA	Homo sapiens
NZ_CP019015	Ecol_AZ162	2013	USA	Homo sapiens
NZ_CP018983	Ecol_867	2013	Canada	Homo sapiens
NZ_CP018983	Ecol_867	2013	Canada	Homo sapiens
NZ_CP018983	Ecol_867	2013	Canada	Homo sapiens
NZ_CP018983	Ecol_867	2013	Canada	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019029	Ecol_881	2013	Colombia	Homo sapiens
NZ_CP019000	Ecol_AZ153	2013	China	Homo sapiens
NZ_CP019000	Ecol_AZ153	2013	China	Homo sapiens
NZ_CP019000	Ecol_AZ153	2013	China	Homo sapiens
NZ_CP019000	Ecol_AZ153	2013	China	Homo sapiens
NZ_CP019000	Ecol_AZ153	2013	China	Homo sapiens
NZ_CP019020	Ecol_244	2010	Argentina	Homo sapiens
NZ_CP019020	Ecol_244	2010	Argentina	Homo sapiens
NZ_CP019020	Ecol_244	2010	Argentina	Homo sapiens
NZ_CP019020	Ecol_244	2010	Argentina	Homo sapiens
NZ_CP019020	Ecol_244	2010	Argentina	Homo sapiens
NZ_CP019777	NU14	1986	USA	Homo sapiens
NZ_CP020092	13E0725	1998	Germany	unknown
NZ_CP020058	AR_0061	unknown	unknown	unknown
NZ_CP020058	AR_0061	unknown	unknown	unknown
NZ_CP020058	AR_0061	unknown	unknown	unknown
NZ_CP020055	AR_0069	unknown	unknown	unknown
NZ_CP020055	AR_0069	unknown	unknown	unknown
NZ_CP020055	AR_0069	unknown	unknown	unknown
NZ_CP020116	AR_0104	unknown	unknown	unknown
NZ_CP020116	AR_0104	unknown	unknown	unknown
NZ_CP020116	AR_0104	unknown	unknown	unknown
NZ_CP020116	AR_0104	unknown	unknown	unknown
NZ_CP020107	13E0767	1998	Germany	unknown
NZ_CP019944	DSM 103246	2012	Germany	unknown
NZ_CP014641	BLK9	2012	Hungary	unknown
NZ_CP020543	C	2016	USA	Homo sapiens
NZ_LT601384	unknown	unknown	unknown	unknown
NZ_LT615378	unknown	unknown	unknown	unknown
NC_000913	K-12	unknown	unknown	unknown
NC_004431	CFT073	unknown	unknown	unknown
NZ_CP006632	PCN033	unknown	unknown	unknown
NZ_CP006632	PCN033	unknown	unknown	unknown
NZ_CP006632	PCN033	unknown	unknown	unknown
NZ_CP006632	PCN033	unknown	unknown	unknown
NZ_CP006262	RM13516	unknown	Belgium	Homo sapiens
NZ_CP006262	RM13516	unknown	Belgium	Homo sapiens
NZ_CP006262	RM13516	unknown	Belgium	Homo sapiens
NZ_CP007392	ST2747	2012	Belgium	unknown
NZ_CP007136	RM12581	unknown	USA	unknown
NZ_CP007136	RM12581	unknown	USA	unknown
NZ_CP007136	RM12581	unknown	USA	unknown
NZ_CP008957	EDL933	unknown	unknown	unknown
NZ_CP008957	EDL933	unknown	unknown	unknown
NZ_CP009644	ER2796	unknown	unknown	unknown
NZ_CP009106	94-3024	1994	USA	unknown
NZ_CP009106	94-3024	1994	USA	unknown
NZ_CP010371	6409	2012	Colombia	Homo sapiens
NZ_CP010371	6409	2012	Colombia	Homo sapiens
NZ_CP010371	6409	2012	Colombia	Homo sapiens
NZ_CP010585	C41(DE3)	2009	Sweden	unknown
NZ_CP010876	MNCRE44	2012	USA	Homo sapiens
NZ_CP010876	MNCRE44	2012	USA	Homo sapiens
NZ_CP010876	MNCRE44	2012	USA	Homo sapiens
NZ_CP010876	MNCRE44	2012	USA	Homo sapiens
NZ_CP010876	MNCRE44	2012	USA	Homo sapiens
NZ_CP010876	MNCRE44	2012	USA	Homo sapiens
NZ_CP010876	MNCRE44	2012	USA	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
NZ_CP011134	VR50	unknown	unknown	Homo sapiens
