accession	strain	collection_date	country	host
NZ_CP011018	CI5	unknown	unknown	Homo sapiens
NZ_CP010438	ER3454	2014	unknown	unknown
NZ_CP010439	ER3440	2014	unknown	unknown
NZ_CP010441	ER3445	2014	unknown	unknown
NZ_CP010442	ER3466	2014	unknown	unknown
NZ_CP010443	ER3446	2014	unknown	unknown
NZ_CP010445	ER3435	2014	unknown	unknown
NZ_LN832404	K-12	unknown	unknown	unknown
NZ_CP011331	C227-11	2011	Denmark	Homo sapiens
NZ_CP011331	C227-11	2011	Denmark	Homo sapiens
NZ_CP011331	C227-11	2011	Denmark	Homo sapiens
NZ_CP011331	C227-11	2011	Denmark	Homo sapiens
NZ_CP011331	C227-11	2011	Denmark	Homo sapiens
NZ_CP011331	C227-11	2011	Denmark	Homo sapiens
NZ_CP011331	C227-11	2011	Denmark	Homo sapiens
NZ_CP011331	C227-11	2011	Denmark	Homo sapiens
NZ_CP011320	SQ37	2008	USA	unknown
NZ_CP011321	SQ88	2008	USA	unknown
NZ_CP011324	SQ2203	2008	USA	unknown
NZ_CP011342	K-12	unknown	unknown	unknown
NZ_CP011343	K-12	unknown	unknown	unknown
NZ_CP006636	PCN061	unknown	unknown	unknown
NZ_CP006636	PCN061	unknown	unknown	unknown
NZ_CP006636	PCN061	unknown	unknown	unknown
NZ_CP006636	PCN061	unknown	unknown	unknown
NZ_CP006636	PCN061	unknown	unknown	unknown
NZ_CP006636	PCN061	unknown	unknown	unknown
NZ_CP006636	PCN061	unknown	unknown	unknown
NZ_CP011495	NCM3722	2014	USA	Homo sapiens
NZ_CP011495	NCM3722	2014	USA	Homo sapiens
NZ_CP007442	ACN001	unknown	unknown	unknown
NZ_CP012125	DH1Ec095	2013	USA	unknown
NZ_CP012127	DH1Ec169	2014	USA	unknown
NZ_CP011113	RR1	unknown	unknown	Homo sapiens
NZ_CP012635	SF-088	2007	USA	Homo sapiens
NZ_CP012635	SF-088	2007	USA	Homo sapiens
NZ_CP012635	SF-088	2007	USA	Homo sapiens
NZ_CP012635	SF-088	2007	USA	Homo sapiens
NZ_CP012633	SF-166	2008	USA	Homo sapiens
NZ_CP012633	SF-166	2008	USA	Homo sapiens
NZ_CP012631	SF-173	2008	USA	Homo sapiens
NZ_CP012631	SF-173	2008	USA	Homo sapiens
NZ_CP012802	WS4202	2003	France	unknown
NZ_CP012802	WS4202	2003	France	unknown
NZ_CP012802	WS4202	2003	France	unknown
NZ_CP012869	K-12	2014	India	unknown
NZ_CP012870	K-12	2014	India	unknown
NZ_CP013029	2012C-4227	2012	USA	Homo sapiens
NZ_CP013029	2012C-4227	2012	USA	Homo sapiens
NZ_CP013029	2012C-4227	2012	USA	Homo sapiens
NZ_CP013112	YD786	2012	USA	Homo sapiens
NZ_CP013253	CQSW20	2007	China	Homo sapiens
NZ_CP013658	uk_P46212	2005	United Kingdom	Homo sapiens
NZ_CP013658	uk_P46212	2005	United Kingdom	Homo sapiens
NZ_CP013831	CD306	2002	USA	cat
NZ_CP013831	CD306	2002	USA	cat
NZ_CP013835	JJ2434	2008	USA	Homo sapiens
NZ_CP013835	JJ2434	2008	USA	Homo sapiens
NZ_CP013835	JJ2434	2008	USA	Homo sapiens
NZ_CP007491	ACN002	unknown	unknown	unknown
NZ_CP014225	K-12	1992	USA	Homo sapiens
NZ_CP014314	JEONG-1266	2013	USA	Bos taurus
NZ_CP014314	JEONG-1266	2013	USA	Bos taurus
NZ_CP014268	C2566	unknown	USA	unknown
NZ_CP014270	DHB4	unknown	unknown	unknown
NZ_CP014270	DHB4	unknown	unknown	unknown
NZ_CP014272	C3026	unknown	unknown	unknown
NZ_CP014272	C3026	unknown	unknown	unknown
NZ_CP014348	JW5437-1	unknown	unknown	unknown
NZ_CP014488	G749	2010	USA	Homo sapiens
NZ_CP014488	G749	2010	USA	Homo sapiens
NZ_CP014488	G749	2010	USA	Homo sapiens
NZ_CP014488	G749	2010	USA	Homo sapiens
NZ_CP014492	MVAST0167	2010	USA	Homo sapiens
NZ_CP014492	MVAST0167	2010	USA	Homo sapiens
NZ_CP014492	MVAST0167	2010	USA	Homo sapiens
NZ_CP014497	ZH193	2004	unknown	Homo sapiens
